time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,13.11,13.11,11.47,11.47,600,,,,,
2018-01-03,12.81,12.95,10.93,12.95,3200,,,,,
2018-01-04,12.84,12.84,12.57,12.57,400,,,,,
2018-01-05,12.76,12.76,10.98,12.76,1400,,,,,
2018-01-08,11.2,12.57,11.2,12.57,300,,,,,
2018-01-09,12.57,12.57,12.57,12.57,100,,,,,
2018-01-10,12.54,12.57,12.54,12.54,300,,,,,
2018-01-11,12.54,12.54,12.54,12.54,0,,,,,
2018-01-12,12.29,12.29,12.29,12.29,200,,,,,
2018-01-15,12.29,12.29,12.02,12.02,1301,,,,,
2018-01-16,12.29,12.29,12.29,12.29,100,,,,,
2018-01-17,12.29,12.29,12.29,12.29,0,,,,,
2018-01-18,12.29,12.29,12.29,12.29,0,,,,,
2018-01-19,12.02,12.16,12.02,12.16,2000,-81.65654813529827,,,,
2018-01-22,12.05,12.05,12.05,12.05,0,-110.5424321959745,,,,58.7878787878788
2018-01-23,12.05,12.05,12.05,12.05,0,-97.78420038535577,,,,58.7878787878788
2018-01-24,11.97,11.97,11.97,11.97,100,-113.15529179030746,,,,57.18022951620219
2018-01-25,11.47,11.47,11.47,11.47,2800,-229.14307285768288,,,,48.2915134251989
2018-01-26,11.75,11.75,10.93,11.2,1900,-208.50310008857514,,,,44.28786166106915
2018-01-29,12.02,12.57,11.47,11.47,3200,-62.820512820512285,,,,48.854316334078696
2018-01-30,12.16,12.29,11.58,11.58,900,-56.38389031705204,,,,50.62976500872662
2018-01-31,12.02,12.16,12.02,12.16,310,33.24939515133619,,,,58.75897865925217
2018-02-01,11.75,11.97,11.75,11.75,1800,-41.78791060446988,,,,52.213964914548725
2018-02-02,11.75,11.75,11.75,11.75,5600,-53.71654149817067,,,,52.21396491454874
2018-02-05,12.57,12.57,11.47,11.47,216,-21.63934426229423,,,,47.98095976435036
2018-02-06,11.2,11.47,11.2,11.47,9700,-140.8120986119736,,,,47.98095976435036
2018-02-07,11.23,11.23,11.23,11.23,0,-146.45873944119492,,,,44.402530611308244
2018-02-08,11.47,11.47,11.47,11.47,2000,-66.46828080616683,,,,48.53597346816827
2018-02-09,12.29,12.29,12.02,12.02,800,100.8419083255378,,,,56.514730043466855
2018-02-12,12.57,12.57,12.57,12.57,100,190.4498436372382,,,,62.736326055532665
2018-02-13,12.57,12.57,12.57,12.57,0,159.6125186289122,,,,62.736326055532665
2018-02-21,12.57,12.57,12.57,12.57,0,127.34500709891194,,,,62.73632605553268
2018-02-22,12.57,12.57,12.57,12.57,0,104.63378176382692,,,,62.736326055532665
2018-02-23,12.27,12.29,12.02,12.29,700,34.46571957998743,-0.004393185968410762,-0.20405196365005512,0.19965877768164436,57.13846304169804
2018-02-26,12.57,12.57,11.75,12.29,14000,30.472636815920517,0.008277232628641329,-0.16158612439431583,0.16986335702295716,57.13846304169804
2018-02-27,12.02,12.02,11.88,11.88,600,-15.333746641867785,-0.014596681377982534,-0.13218823579104916,0.11759155441306662,49.61960809669288
2018-02-28,11.75,11.8,11.75,11.8,200,-39.425641025641056,-0.03873326150992007,-0.11349724093482334,0.07476397942490327,48.28448422063422
2018-03-01,11.47,11.61,11.47,11.47,13100,-79.09537856440485,-0.08352706917442987,-0.10750320658274465,0.02397613740831478,43.129246041864526
2018-03-02,12.29,12.29,12.16,12.16,400,30.027548209366675,-0.06262732225432366,-0.09852802971706046,0.0359007074627368,54.151821057803
2018-03-05,12.24,12.24,12.24,12.24,0,29.420581013425256,-0.03915740860177053,-0.08665390549400247,0.04749649689223194,55.2351413407145
2018-03-06,12.29,12.29,12.29,12.29,300,30.80547901441624,-0.016334457351458553,-0.07259001586549368,0.05625555851403513,55.93592527955049
2018-03-07,12.02,12.02,12.02,12.02,300,-50.869522976780004,-0.019805541615728117,-0.06203312101554057,0.042227579399812455,51.26851376673237
2018-03-08,12.02,12.02,11.88,11.97,400,-62.085394905625535,-0.02628795188983446,-0.05488408719039935,0.028596135300564887,50.42932560154267
2018-03-09,12.29,12.29,12.29,12.29,500,35.1225204200696,-0.0055401200317710675,-0.04501529375867369,0.039475173726902624,55.45477013978336
2018-03-12,12.29,12.29,12.29,12.29,0,43.50528278433804,0.010778439059667022,-0.03385654719500555,0.04463498625467257,55.45477013978336
2018-03-13,12.29,12.29,12.29,12.29,0,53.05851063829775,0.023440803714672498,-0.022397077013069935,0.04583788072774243,55.45477013978336
2018-03-14,12.16,12.16,11.88,11.88,800,-39.00023860653796,0.00038777541059253906,-0.01784010652833744,0.01822788193892998,47.714011650306425
2018-03-15,11.97,11.97,11.97,11.97,0,-34.41938178780308,-0.010498645914946536,-0.01637181440565926,0.0058731684907127255,49.38423201654855
2018-03-16,12.16,12.16,11.88,11.97,1400,-18.395934052310878,-0.018908250703731255,-0.01687910166527366,-0.0020291490384575957,49.384232016548545
2018-03-19,12.07,12.16,11.75,12.16,1500,-14.078913656162356,-0.010124798607154872,-0.015528241053649902,0.00540344244649503,53.05579435335732
2018-03-20,11.83,11.83,11.83,11.83,0,-89.59635416666806,-0.029452580598643863,-0.018313108962648695,-0.011139471635995168,46.71727783117422
2018-03-21,12.24,12.29,12.24,12.24,2800,62.61333333333279,-0.011553235086577018,-0.01696113418743436,0.005407899100857341,54.06063123115198
2018-03-22,12.24,12.27,12.24,12.27,300,60.64382139148414,0.00499529185406189,-0.012569848979135108,0.017565140833196997,54.55417322905124
2018-03-23,12.24,12.24,12.18,12.18,2300,36.402116402117095,0.010724248381867696,-0.007911029506934546,0.018635277888802242,52.72415808795522
2018-03-26,12.29,12.29,12.18,12.18,400,47.807017543859885,0.015090533429214403,-0.003310716919704756,0.01840125034891916,52.72415808795521
2018-03-27,12.27,12.29,12.16,12.16,1200,36.14553543056902,0.01674399854119102,0.0007002261724743993,0.016043772368716618,52.272245215601366
2018-03-28,12.21,12.21,12.21,12.21,0,33.44545062527086,0.02183723760566103,0.004927628459111725,0.016909609146549306,53.34879136135986
2018-03-29,12.57,12.57,12.1,12.1,1500,59.082568807338944,0.01680388088858642,0.0073028789450066646,0.009501001943579754,50.64244323900149
2018-03-30,10.41,12.84,10.41,12.16,3600,-136.46788990825726,0.01745519535938378,0.009333342227882088,0.008121853131501692,52.07069080725313
2018-04-02,12.57,12.84,12.57,12.57,2800,205.3853296193135,0.05047311757599893,0.017561297297505454,0.03291182027849347,60.48517010220248
2018-04-03,12.54,12.57,12.54,12.57,500,144.08355623487475,0.07576666783031527,0.029202371404067416,0.046564296426247855,60.48517010220248
