symbol,start,end,profit
YTC,2022-01-01,2022-10-01,0
YEG,2022-01-01,2022-10-01,2.369999999999999
YBM,2022-01-01,2022-10-01,-0.17999999999999972
YBC,2022-01-01,2022-10-01,-0.5
XPH,2022-01-01,2022-10-01,1.5000000000000018
XMP,2022-01-01,2022-10-01,-0.2699999999999996
XMD,2022-01-01,2022-10-01,-8.799999999999999
XMC,2022-01-01,2022-10-01,-2.1599999999999993
XLV,2022-01-01,2022-10-01,0.9200000000000008
XHC,2022-01-01,2022-10-01,8.899999999999999
XDH,2022-01-01,2022-10-01,0
XDC,2022-01-01,2022-10-01,
X77,2022-01-01,2022-10-01,0
X26,2022-01-01,2022-10-01,0
X20,2022-01-01,2022-10-01,-3.2700000000000022
WTC,2022-01-01,2022-10-01,-12.230000000000002
WSS,2022-01-01,2022-10-01,-3.1999999999999993
WSB,2022-01-01,2022-10-01,1.5400000000000063
WCS,2022-01-01,2022-10-01,-14.73999999999998
VXT,2022-01-01,2022-10-01,0
VXP,2022-01-01,2022-10-01,0
VXB,2022-01-01,2022-10-01,-27.599999999999994
VWS,2022-01-01,2022-10-01,2.92
VW3,2022-01-01,2022-10-01,3.650000000000002
VVS,2022-01-01,2022-10-01,
VVN,2022-01-01,2022-10-01,-1.0
VUA,2022-01-01,2022-10-01,2.3000000000000043
VTZ,2022-01-01,2022-10-01,-1.5499999999999998
VTX,2022-01-01,2022-10-01,-2.0
VTV,2022-01-01,2022-10-01,-3.41
VTS,2022-01-01,2022-10-01,11.500000000000002
VTR,2022-01-01,2022-10-01,-1.7999999999999972
VTQ,2022-01-01,2022-10-01,0
VTP,2022-01-01,2022-10-01,7.170000000000002
VTO,2022-01-01,2022-10-01,-0.009999999999999787
VTM,2022-01-01,2022-10-01,0
VTL,2022-01-01,2022-10-01,9.4
VTK,2022-01-01,2022-10-01,5.390000000000004
VTJ,2022-01-01,2022-10-01,
VTI,2022-01-01,2022-10-01,
VTH,2022-01-01,2022-10-01,
VTG,2022-01-01,2022-10-01,3.3999999999999986
VTE,2022-01-01,2022-10-01,-0.9399999999999986
VTD,2022-01-01,2022-10-01,3.3000000000000007
VTC,2022-01-01,2022-10-01,1.8699999999999992
VTB,2022-01-01,2022-10-01,0.9100000000000001
VTA,2022-01-01,2022-10-01,-1.1999999999999993
VST,2022-01-01,2022-10-01,0.399999999999999
VSP,2022-01-01,2022-10-01,0
VSN,2022-01-01,2022-10-01,-3.41
VSM,2022-01-01,2022-10-01,-2.6999999999999957
VSI,2022-01-01,2022-10-01,2.3699999999999957
VSH,2022-01-01,2022-10-01,7.320000000000004
VSG,2022-01-01,2022-10-01,0.0
VSF,2022-01-01,2022-10-01,-1.6000000000000005
VSE,2022-01-01,2022-10-01,-2.4399999999999995
VSC,2022-01-01,2022-10-01,1.389999999999997
VSA,2022-01-01,2022-10-01,1.5700000000000038
VRG,2022-01-01,2022-10-01,2.139999999999997
VRE,2022-01-01,2022-10-01,-0.44999999999999574
VRC,2022-01-01,2022-10-01,-4.549999999999999
VQC,2022-01-01,2022-10-01,6.860000000000001
VPW,2022-01-01,2022-10-01,0
VPS,2022-01-01,2022-10-01,-2.130000000000001
VPR,2022-01-01,2022-10-01,2.1400000000000006
VPI,2022-01-01,2022-10-01,1.9200000000000017
VPH,2022-01-01,2022-10-01,4.0699999999999985
VPG,2022-01-01,2022-10-01,-25.29
VPD,2022-01-01,2022-10-01,0.35999999999999943
VPC,2022-01-01,2022-10-01,0.6999999999999993
VPB,2022-01-01,2022-10-01,-1.2500000000000036
VPA,2022-01-01,2022-10-01,-3.1000000000000005
VOS,2022-01-01,2022-10-01,-1.3000000000000025
VOC,2022-01-01,2022-10-01,-6.800000000000001
VNZ,2022-01-01,2022-10-01,
VNY,2022-01-01,2022-10-01,-2.0
VNX,2022-01-01,2022-10-01,-0.08999999999999897
VNT,2022-01-01,2022-10-01,22.49999999999998
VNS,2022-01-01,2022-10-01,3.2200000000000006
VNR,2022-01-01,2022-10-01,0.240000000000002
VNP,2022-01-01,2022-10-01,-6.600000000000001
VNM,2022-01-01,2022-10-01,-1.9699999999999989
VNL,2022-01-01,2022-10-01,-1.1800000000000015
VNI,2022-01-01,2022-10-01,4.1
VNH,2022-01-01,2022-10-01,-4.0
VNG,2022-01-01,2022-10-01,-4.200000000000003
VNF,2022-01-01,2022-10-01,6.6899999999999995
VNE,2022-01-01,2022-10-01,-4.449999999999999
VND,2022-01-01,2022-10-01,-3.870000000000001
VNC,2022-01-01,2022-10-01,15.910000000000004
VNB,2022-01-01,2022-10-01,-4.1
VNA,2022-01-01,2022-10-01,-1.1599999999999966
VMT,2022-01-01,2022-10-01,
VMS,2022-01-01,2022-10-01,-0.16999999999999815
VMK,2022-01-01,2022-10-01,
VMI,2022-01-01,2022-10-01,-0.3999999999999997
VMG,2022-01-01,2022-10-01,-0.2999999999999998
VMD,2022-01-01,2022-10-01,-8.220000000000002
VMC,2022-01-01,2022-10-01,-8.739999999999998
VMA,2022-01-01,2022-10-01,0
VLW,2022-01-01,2022-10-01,-0.6799999999999997
VLP,2022-01-01,2022-10-01,0
VLG,2022-01-01,2022-10-01,-3.13
VLF,2022-01-01,2022-10-01,-0.6999999999999995
VLC,2022-01-01,2022-10-01,-6.100000000000001
VLB,2022-01-01,2022-10-01,-3.0400000000000027
VLA,2022-01-01,2022-10-01,-0.7899999999999991
VKP,2022-01-01,2022-10-01,0
VKD,2022-01-01,2022-10-01,0
VKC,2022-01-01,2022-10-01,-6.199999999999998
VJC,2022-01-01,2022-10-01,10.899999999999977
VIX,2022-01-01,2022-10-01,-0.29999999999999893
VIW,2022-01-01,2022-10-01,3.5
VIT,2022-01-01,2022-10-01,-2.4600000000000044
VIS,2022-01-01,2022-10-01,
VIR,2022-01-01,2022-10-01,0.3000000000000007
VIP,2022-01-01,2022-10-01,-2.1399999999999997
VIN,2022-01-01,2022-10-01,-2.190000000000003
VIM,2022-01-01,2022-10-01,-3.7200000000000024
VIH,2022-01-01,2022-10-01,1.6300000000000008
VIG,2022-01-01,2022-10-01,-3.1999999999999993
VIF,2022-01-01,2022-10-01,-0.8799999999999972
VIE,2022-01-01,2022-10-01,1.8000000000000016
VID,2022-01-01,2022-10-01,-0.490000000000002
VIC,2022-01-01,2022-10-01,-27.299999999999997
VIB,2022-01-01,2022-10-01,-4.269999999999998
VHM,2022-01-01,2022-10-01,-4.8600000000000065
VHL,2022-01-01,2022-10-01,0.9000000000000021
VHI,2022-01-01,2022-10-01,
VHH,2022-01-01,2022-10-01,4.2
VHG,2022-01-01,2022-10-01,-5.6
VHF,2022-01-01,2022-10-01,1.0199999999999996
VHE,2022-01-01,2022-10-01,-4.2
VHD,2022-01-01,2022-10-01,-18.299999999999997
VHC,2022-01-01,2022-10-01,-5.579999999999991
VGV,2022-01-01,2022-10-01,-3.8100000000000023
VGT,2022-01-01,2022-10-01,-2.5400000000000027
VGS,2022-01-01,2022-10-01,-8.12
VGR,2022-01-01,2022-10-01,1.1599999999999966
VGP,2022-01-01,2022-10-01,8.79
VGL,2022-01-01,2022-10-01,-5.100000000000001
VGI,2022-01-01,2022-10-01,6.200000000000003
VGG,2022-01-01,2022-10-01,2.760000000000012
VGC,2022-01-01,2022-10-01,3.8600000000000065
VFS,2022-01-01,2022-10-01,1.6999999999999993
VFR,2022-01-01,2022-10-01,1.0999999999999996
VFG,2022-01-01,2022-10-01,-2.960000000000008
VFC,2022-01-01,2022-10-01,12.489999999999998
VET,2022-01-01,2022-10-01,15.099999999999994
VES,2022-01-01,2022-10-01,1.5
VEF,2022-01-01,2022-10-01,-20.5
VEC,2022-01-01,2022-10-01,-3.5
VEA,2022-01-01,2022-10-01,3.120000000000001
VE9,2022-01-01,2022-10-01,-4.2
VE8,2022-01-01,2022-10-01,0.799999999999998
VE4,2022-01-01,2022-10-01,-7.0
VE3,2022-01-01,2022-10-01,1.0
VE2,2022-01-01,2022-10-01,4.3
VE1,2022-01-01,2022-10-01,-2.3000000000000007
VDT,2022-01-01,2022-10-01,1.3000000000000007
VDS,2022-01-01,2022-10-01,-8.969999999999999
VDP,2022-01-01,2022-10-01,0.18999999999999773
VDN,2022-01-01,2022-10-01,15.849999999999998
VDM,2022-01-01,2022-10-01,
VDL,2022-01-01,2022-10-01,5.699999999999999
VDG,2022-01-01,2022-10-01,
VDB,2022-01-01,2022-10-01,0
VCX,2022-01-01,2022-10-01,0.6000000000000005
VCW,2022-01-01,2022-10-01,19.67
VCT,2022-01-01,2022-10-01,0
VCS,2022-01-01,2022-10-01,-15.780000000000001
VCR,2022-01-01,2022-10-01,1.7999999999999972
VCP,2022-01-01,2022-10-01,-3.5000000000000036
